sheet,row,sku,issue,current,suggested
PRICE_ELEA_CLEAN,88,ELE-0087,Normalize product name,EA Комуфляж для чоловіків  ARTISTO Color MEN №1.0 Чорний,EA Комуфляж для чоловіків ARTISTO Color MEN №1.0 Чорний
PRICE_ELEA_CLEAN,89,ELE-0088,Normalize product name,EA Комуфляж для чоловіків  ARTISTO Color MEN №4.0 Коричневый,EA Комуфляж для чоловіків ARTISTO Color MEN №4.0 Коричневый
PRICE_ELEA_CLEAN,92,ELE-0091,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,93,ELE-0092,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,94,ELE-0093,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,95,ELE-0094,Extract volume from name,,75 g
PRICE_ELEA_CLEAN,96,ELE-0095,Extract volume from name,,75 ml
PRICE_ELEA_CLEAN,97,ELE-0096,Extract volume from name,,150 ml
PRICE_ELEA_CLEAN,98,ELE-0097,Extract volume from name,,250 ml
PRICE_ELEA_CLEAN,99,ELE-0098,Extract volume from name,,75 g
PRICE_ELEA_CLEAN,100,ELE-0099,Extract volume from name,,250 ml
PRICE_ERAYBA_CLEAN,2,ERA-0001,Normalize product name,ERAYBA Стійка крем-фарба  GAMMA 100 мл,ERAYBA Стійка крем-фарба GAMMA 100 мл
PRICE_ERAYBA_CLEAN,2,ERA-0001,Missing or technical category,,
PRICE_ERAYBA_CLEAN,2,ERA-0001,Extract volume from name,,100 ml
PRICE_ERAYBA_CLEAN,3,ERA-0002,Extract volume from name,,1000 ml
PRICE_ERAYBA_CLEAN,4,ERA-0003,Extract volume from name,,1000 ml
PRICE_ERAYBA_CLEAN,5,ERA-0004,Extract volume from name,,1000 ml
PRICE_ERAYBA_CLEAN,6,ERA-0005,Extract volume from name,,1000 ml
